MatchId,Name,TossResult
T20I no. 2729,Virat Kohli,"India, elected to bat first"
T20I no. 2632,Aaron Jones,"United States of America, elected to field first"
T20I no. 2633,Roston Chase,"West Indies, elected to field first"
T20I no. 2634,David Wiese,"Namibia, elected to field first"
T20I no. 2635,Anrich Nortje,"Sri Lanka, elected to bat first"
T20I no. 2636,Fazalhaq Farooqi,"Uganda, elected to field first"
T20I no. 2637,,"Scotland, elected to bat first"
T20I no. 2638,Tim Pringle,"Netherlands, elected to field first"
T20I no. 2639,Jasprit Bumrah,"India, elected to field first"
T20I no. 2640,Riazat Ali Shah,"Uganda, elected to field first"
T20I no. 2641,Marcus Stoinis,"Oman, elected to field first"
T20I no. 2642,Monank Patel,"United States of America, elected to field first"
T20I no. 2643,Michael Leask,"Namibia, elected to bat first"
T20I no. 2644,Nicholas Kirton,"Ireland, elected to field first"
T20I no. 2645,Rahmanullah Gurbaz,"New Zealand, elected to field first"
T20I no. 2646,Rishad Hossain,"Bangladesh, elected to field first"
T20I no. 2649,David Miller,"South Africa, elected to field first"
T20I no. 2650,Adam Zampa,"England, elected to field first"
T20I no. 2651,Akeal Hosein,"West Indies, elected to bat first"
T20I no. 2658,Jasprit Bumrah,"Pakistan, elected to field first"
T20I no. 2659,Brandon McMullen,"Oman, elected to bat first"
T20I no. 2664,Heinrich Klaasen,"South Africa, elected to bat first"
T20I no. 2665,Mohammad Amir,"Pakistan, elected to field first"
T20I no. 2666,Adam Zampa,"Australia, elected to field first"
T20I no. 2671,Arshdeep Singh,"India, elected to field first"
T20I no. 2672,Sherfane Rutherford,"New Zealand, elected to field first"
T20I no. 2677,Shakib Al Hasan,"Netherlands, elected to field first"
T20I no. 2678,Adil Rashid,"England, elected to field first"
T20I no. 2679,Fazalhaq Farooqi,"Afghanistan, elected to field first"
T20I no. 2681,Tabraiz Shamsi,"Nepal, elected to field first"
T20I no. 2682,Tim Southee,"New Zealand, elected to field first"
T20I no. 2688,Harry Brook,"Namibia, elected to field first"
T20I no. 2689,Marcus Stoinis,"Australia, elected to field first"
T20I no. 2697,Shaheen Shah Afridi,"Pakistan, elected to field first"
T20I no. 2698,Tanzim Hasan Sakib,"Nepal, elected to field first"
T20I no. 2699,Charith Asalanka,"Netherlands, elected to field first"
T20I no. 2702,Lockie Ferguson,"New Zealand, elected to field first"
T20I no. 2703,Nicholas Pooran,"Afghanistan, elected to field first"
T20I no. 2708,Quinton de Kock,"United States of America, elected to field first"
T20I no. 2709,Phil Salt,"England, elected to field first"
T20I no. 2710,Suryakumar Yadav,"India, elected to bat first"
T20I no. 2711,Pat Cummins,"Australia, elected to field first"
T20I no. 2712,Quinton de Kock,"England, elected to field first"
T20I no. 2713,Roston Chase,"West Indies, elected to field first"
T20I no. 2716,Hardik Pandya,"Bangladesh, elected to field first"
T20I no. 2717,Gulbadin Naib,"Australia, elected to field first"
T20I no. 2719,Adil Rashid,"England, elected to field first"
T20I no. 2720,Tabraiz Shamsi,"South Africa, elected to field first"
T20I no. 2721,Rohit Sharma,"Australia, elected to field first"
T20I no. 2722,Naveen-ul-Haq,"Afghanistan, elected to bat first"
T20I no. 2723,Marco Jansen,"Afghanistan, elected to bat first"
T20I no. 2724,Axar Patel,"England, elected to field first"
