Country,image
Afghanistan,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/afg.png
Australia,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/aus.png
Bangladesh,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/ban.png
Canada,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/can.png
England,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/eng.png
India,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/ind.png
Ireland,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/ire.png
Namibia,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/nam.png
Nepal,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/nep.png
Netherlands,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/ned.png
New Zealand,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/nz.png
Oman,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/oma.png
Pakistan,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/pak.png
Papua New Guinea,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/png.png
Scotland,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/sco.png
South Africa,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/sa.png
Sri Lanka,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/sl.png
USA,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/usa.png
Uganda,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/uga.png
West Indies,https://images.icc-cricket.com/image/upload/t_q-good/prd/assets/flags/wi.png
